-THEREDDKING-,Duct-Ties & Zip-Tape Qualifier,11/05/16,Georgia
Q-20|11523,11433|11383,10638|10,0,10,0,0|50,10,30,0,10
Q-21|8433,22|6988,10781|32,10,22,0,0|35,15,20,0,0
Q-22|12145,8566|5002,11820|60,25,35,0,0|15,5,0,10,0
Q-23|3726,11026|7361,5177|10,10,0,0,0|85,35,10,0,40
Q-24|10537,6747|8678,5116|20,10,10,0,0|30,0,30,0,0
Q-25|9655,4232|11711,7153|10,10,0,0,0|95,5,50,0,40
Q-26|22,6173|10638,5647|4,0,4,0,0|27,5,22,0,0
Q-27|11523,7482|11026,8433|0,0,0,0,0|55,15,40,0,0
Q-28|9187,12145|5979,525|5,5,0,0,0|25,5,20,0,0
Q-29|11383,6988|11820,8678|65,15,40,10,0|20,10,0,10,0
Q-30|10537,7361|11711,5002|75,40,25,10,0|0,0,0,0,0
Q-31|4232,5177|2993,8566|13,10,3,0,0|60,5,55,0,0
Q-32|3726,11518|6747,11433|15,5,10,0,0|47,15,32,0,0
Q-33|9655,5116|3931,10781|20,10,10,0,0|55,15,30,10,0
Q-34|7153,5979|5002,11026|95,5,90,0,0|10,10,0,0,0
Q-35|10638,2993|7482,11820|52,15,37,0,0|50,10,0,0,40
Q-36|5177,11518|8433,8678|45,5,40,0,0|50,40,0,0,10
Q-37|3726,4232|11523,3931|10,10,0,0,0|40,10,30,0,0
Q-38|7361,11383|22,8566|95,35,50,10,0|15,5,10,0,0
Q-39|5116,6173|11433,9187|15,5,10,0,0|75,10,25,0,40
Q-40|6988,6747|525,11711|50,10,40,0,0|5,5,0,0,0
Q-41|5647,9655|10537,12145|50,10,40,0,0|20,10,0,10,0
Q-42|10781,7153|8678,5002|111,40,71,0,0|0,0,0,0,0
SF-1-1|7153,11383|10781,2993|60,5,55,0,0|20,10,10,0,0
SF-2-1|7361,8433|8678,8566|40,35,5,0,0|60,15,45,0,0
SF-1-2|7153,11383|10781,2993|55,0,55,0,0|20,0,10,10,0
SF-2-2|7361,8433|8678,8566|70,40,20,0,10|20,0,20,0,0
SF-2-3|7361,8433|8678,8566|80,25,55,0,0|25,10,15,0,0
F-1|7153,11383|7361,8433|80,5,65,10,0|155,35,20,0,100
F-2|7153,11383|7361,8433|40,0,40,0,0|70,30,30,0,10
-THEREDDKING-,Saratoga FTC QT,11/20/16,California
Q-1|7316,11550|7854,9578|45,0,45,0,0|50,30,0,20,0
Q-2|11521,10148|4475,10023|5,0,5,0,0|85,40,45,0,0
Q-3|11898,4800|9924,9614|10,0,10,0,0|90,60,30,0,0
Q-4|12027,11527|10163,4345|12,10,2,0,0|35,25,10,0,0
Q-5|4799,11516|8865,11201|15,5,10,0,0|45,35,10,0,0
Q-6|7175,2891|9014,7391|15,15,0,0,0|25,5,0,20,0
Q-7|9097,9784|5220,548|25,5,20,0,0|60,25,35,0,0
Q-8|10163,9578|11898,4475|10,10,0,0,0|60,20,40,0,0
Q-9|7316,4345|4800,7391|70,40,30,0,0|30,10,20,0,0
Q-10|7175,7854|11527,548|31,0,11,20,0|65,10,55,0,0
Q-11|10023,9614|11516,9097|70,40,20,10,0|40,10,30,0,0
Q-12|2891,8865|9924,9784|25,10,15,0,0|30,0,30,0,0
Q-13|5220,11201|10148,9014|50,0,50,0,0|10,5,5,0,0
Q-14|12027,11521|11550,4799|15,15,0,0,0|65,5,40,20,0
Q-15|548,4800|11516,2891|75,35,40,0,0|23,10,13,0,0
Q-16|10148,4345|9578,9924|55,35,20,0,0|30,0,30,0,0
Q-17|8865,11521|10163,9097|65,25,40,0,0|7,5,2,0,0
Q-18|7316,11201|10023,7175|65,30,35,0,0|25,10,15,0,0
Q-19|7391,7854|12027,4475|26,15,1,10,0|52,10,42,0,0
Q-20|5220,9614|11550,11527|35,5,30,0,0|50,10,40,0,0
Q-21|9014,9784|4799,11898|35,5,20,10,0|25,5,20,0,0
Q-22|9097,12027|9924,7316|5,5,0,0,0|90,40,50,0,0
Q-23|8865,7391|10023,5220|65,25,40,0,0|105,75,30,0,0
Q-24|10163,9014|548,9614|40,20,0,20,0|105,45,60,0,0
Q-25|11516,11898|7854,4345|35,15,20,0,0|61,50,11,0,0
Q-26|4800,11550|7175,10148|50,10,40,0,0|10,0,10,0,0
Q-27|4799,11527|2891,4475|60,15,35,10,0|35,15,20,0,0
Q-28|9578,11201|9784,11521|40,15,25,0,0|40,10,30,0,0
Q-29|7316,9614|8865,10148|65,40,25,0,0|70,40,30,0,0
Q-30|4345,11550|9014,9097|95,40,55,0,0|26,5,1,20,0
Q-31|548,10023|4799,9578|50,0,50,0,0|40,20,10,10,0
Q-32|2891,11898|11201,12027|50,15,35,0,0|32,5,17,10,0
Q-33|11527,9924|7391,11521|40,10,30,0,0|20,10,10,0,0
Q-34|7175,4475|5220,11516|45,10,35,0,0|120,70,50,0,0
Q-35|9784,10163|7854,4800|50,20,30,0,0|40,0,20,20,0
Q-36|7391,548|10148,11898|40,10,30,0,0|25,5,20,0,0
Q-37|9578,9014|12027,8865|0,0,0,0,0|70,5,65,0,0
Q-38|11527,11516|7316,9784|50,10,40,0,0|35,25,10,0,0
Q-39|9924,10023|10163,11550|100,55,45,0,0|20,20,0,0,0
Q-40|5220,7854|2891,11521|180,70,70,40,0|10,10,0,0,0
Q-41|4345,4799|9614,7175|80,40,40,0,0|90,60,20,10,0
Q-42|9097,4475|11201,4800|40,10,30,0,0|20,10,10,0,0
SF-1-1|548,9614|11527,9784|30,5,15,10,0|80,50,30,0,0
SF-2-1|4345,11550|10023,5220|85,40,45,0,0|155,105,50,0,0
SF-1-2|548,9614|11527,9784|40,10,30,0,0|25,5,20,0,0
SF-2-2|4345,11550|10023,5220|105,65,40,0,0|105,20,45,40,0
SF-1-3|548,9614|11527,9784|40,5,35,0,0|30,5,25,0,0
SF-2-3|4345,11550|10023,5220|110,65,45,0,0|165,115,50,0,0
F-1|548,9614|10023,5220|90,35,55,0,0|185,115,30,40,0
F-2|548,9614|10023,5220|45,5,40,0,0|190,80,70,40,0
-THEREDDKING-,Flagstaff FIRST Tech Challenge Qualifying Tournament,12/03/16,Arizona
Q-1|12244,11644|6900,11529|10,0,10,0,0|15,15,0,0,0
Q-2|8081,7167|11701,8995|0,0,0,0,0|90,40,50,0,0
Q-3|8570,8995|11430,12244|85,45,40,0,0|31,30,1,0,0
Q-4|11644,11701|8081,8570|36,5,21,10,0|10,0,0,0,10
Q-5|6900,11430|7167,11529|25,5,20,0,0|25,15,10,0,0
Q-6|7167,8995|11529,8570|70,30,40,0,0|0,0,0,0,0
Q-7|11701,12244|11644,11430|18,5,13,0,0|30,0,30,0,0
Q-8|6900,12244|8081,11701|30,0,30,0,0|12,0,2,10,0
Q-9|11529,11430|8995,8081|5,5,0,0,0|160,70,40,10,40
Q-10|8570,11644|6900,7167|60,10,10,0,40|30,0,30,0,0
Q-11|8081,11529|7167,8570|10,10,0,0,0|30,0,30,0,0
Q-12|8995,11430|6900,11644|80,40,30,10,0|15,5,10,0,0
Q-13|11701,7167|12244,11529|42,10,32,0,0|10,10,0,0,0
SF-1-1|8995,11701|6900,11529|157,75,42,0,40|5,5,0,0,0
SF-2-1|11644,8570|11430,7167|20,10,10,0,0|66,15,11,0,40
SF-1-2|8995,11701|6900,11529|96,45,41,10,0|5,5,0,0,0
SF-2-2|11644,8570|11430,7167|25,15,10,0,0|30,10,20,0,0
F-1|8995,11701|11430,7167|76,45,31,0,0|21,10,11,0,0
F-2|8995,11701|11430,7167|75,45,30,0,0|32,10,12,0,10
-THEREDDKING-,Arkansas State Championship,12/03/16,Arkansas
Q-1|11684,8411|8651,3664|5,5,0,0,0|140,40,80,20,0
Q-2|92,11869|10436,12175|95,40,55,0,0|15,0,15,0,0
Q-3|11126,11259|10922,11108|75,55,20,0,0|20,0,20,0,0
Q-4|7783,7030|10165,7572|50,40,10,0,0|65,30,35,0,0
Q-5|10391,4587|4962,9792|85,25,20,40,0|155,10,45,0,100
Q-6|5925,7343|7209,6832|2,0,2,0,0|146,85,61,0,0
Q-7|9879,3486|3638,5404|100,40,60,0,0|71,5,26,0,40
Q-8|8373,11108|7572,10436|115,60,55,0,0|60,0,20,40,0
Q-9|3664,11126|4587,7343|85,40,25,20,0|70,0,30,40,0
Q-10|3638,92|7030,6832|68,5,53,10,0|30,25,5,0,0
Q-11|9792,5925|8651,7783|31,0,31,0,0|115,35,40,0,40
Q-12|11259,10391|3486,8411|10,10,0,0,0|136,45,51,40,0
Q-13|9879,7209|8373,10165|70,40,20,10,0|150,95,55,0,0
Q-14|11684,11869|5404,10922|40,0,40,0,0|0,0,0,0,0
Q-15|4962,6832|12175,3664|130,70,60,0,0|60,10,10,40,0
Q-16|9792,11126|3486,92|75,20,55,0,0|110,25,45,40,0
